seed,ep,reward
0,0,-30.0
0,1,-30.0
0,2,-30.0
0,3,-30.0
0,4,-30.0
0,5,-30.0
0,6,-30.0
0,7,-40.0
0,8,-20.0
0,9,-30.0
0,10,-20.0
0,11,-30.0
0,12,-30.0
0,13,-30.0
0,14,-30.0
0,15,-30.0
0,16,-30.0
0,17,-30.0
0,18,-30.0
0,19,-30.0
0,20,-30.0
0,21,-20.0
0,22,-30.0
0,23,-20.0
0,24,-20.0
0,25,-40.0
0,26,-10.0
0,27,-40.0
0,28,-30.0
0,29,-20.0
0,30,-30.0
0,31,0.0
0,32,0.0
0,33,40.0
0,34,10.0
0,35,-20.0
0,36,-20.0
0,37,120.0
0,38,90.0
0,39,30.0
0,40,50.0
0,41,-10.0
0,42,30.0
0,43,20.0
0,44,10.0
0,45,20.0
0,46,-10.0
0,47,-10.0
0,48,0.0
0,49,10.0
