seed,ep,reward
0,0,-30.0
0,1,-10.0
0,2,-20.0
0,3,-10.0
0,4,-30.0
0,5,-30.0
0,6,0.0
0,7,0.0
0,8,-40.0
0,9,-40.0
0,10,10.0
0,11,-30.0
0,12,-10.0
0,13,-30.0
0,14,-30.0
0,15,0.0
0,16,-10.0
0,17,-30.0
0,18,0.0
0,19,-30.0
0,20,-10.0
0,21,-20.0
0,22,-10.0
0,23,-40.0
0,24,-20.0
0,25,-30.0
0,26,-20.0
0,27,10.0
0,28,10.0
0,29,-20.0
0,30,-20.0
0,31,-10.0
0,32,10.0
0,33,30.0
0,34,30.0
0,35,0.0
0,36,-10.0
0,37,-20.0
0,38,-30.0
0,39,-30.0
0,40,10.0
0,41,-30.0
0,42,-20.0
0,43,-30.0
0,44,-30.0
0,45,-30.0
0,46,-10.0
0,47,-20.0
0,48,0.0
0,49,0.0
0,50,-10.0
0,51,0.0
0,52,30.0
0,53,0.0
0,54,-30.0
0,55,0.0
0,56,-30.0
0,57,-10.0
0,58,0.0
0,59,-30.0
0,60,-40.0
0,61,-30.0
0,62,-20.0
0,63,-10.0
0,64,-30.0
0,65,-30.0
0,66,10.0
0,67,10.0
0,68,0.0
0,69,-20.0
0,70,80.0
0,71,10.0
0,72,-30.0
0,73,-10.0
0,74,20.0
0,75,0.0
0,76,40.0
0,77,-30.0
0,78,-20.0
0,79,0.0
0,80,10.0
0,81,20.0
0,82,-20.0
0,83,-30.0
0,84,90.0
0,85,0.0
0,86,-10.0
0,87,-30.0
0,88,0.0
0,89,-10.0
0,90,-40.0
0,91,30.0
0,92,10.0
0,93,-30.0
0,94,-10.0
0,95,30.0
0,96,-10.0
0,97,10.0
0,98,20.0
0,99,-10.0
0,100,0.0
0,101,10.0
0,102,10.0
0,103,-30.0
0,104,-10.0
0,105,-30.0
0,106,0.0
0,107,-10.0
0,108,0.0
0,109,-10.0
0,110,-30.0
0,111,0.0
0,112,-20.0
0,113,30.0
0,114,60.0
0,115,40.0
0,116,-10.0
0,117,20.0
0,118,30.0
0,119,40.0
0,120,-30.0
0,121,0.0
0,122,50.0
0,123,0.0
0,124,10.0
0,125,40.0
0,126,30.0
0,127,-30.0
0,128,70.0
0,129,30.0
0,130,0.0
0,131,-40.0
0,132,70.0
0,133,50.0
0,134,-10.0
0,135,70.0
0,136,20.0
0,137,10.0
0,138,10.0
0,139,0.0
0,140,50.0
0,141,50.0
0,142,50.0
0,143,10.0
0,144,10.0
0,145,50.0
0,146,0.0
0,147,-30.0
0,148,-10.0
0,149,-30.0
0,150,10.0
0,151,50.0
0,152,10.0
0,153,-30.0
0,154,10.0
0,155,-10.0
0,156,20.0
0,157,50.0
0,158,-20.0
0,159,40.0
0,160,20.0
0,161,40.0
0,162,20.0
0,163,0.0
0,164,10.0
0,165,0.0
0,166,20.0
0,167,0.0
0,168,60.0
0,169,20.0
0,170,10.0
0,171,10.0
0,172,0.0
0,173,50.0
0,174,50.0
0,175,50.0
0,176,0.0
0,177,-10.0
0,178,40.0
0,179,-10.0
0,180,0.0
0,181,-20.0
0,182,10.0
0,183,90.0
0,184,-30.0
0,185,10.0
0,186,-10.0
0,187,10.0
0,188,0.0
0,189,0.0
0,190,30.0
0,191,10.0
0,192,10.0
0,193,-20.0
0,194,0.0
0,195,50.0
0,196,10.0
0,197,10.0
0,198,0.0
0,199,20.0
0,200,50.0
0,201,-10.0
0,202,-20.0
0,203,-10.0
0,204,-30.0
0,205,60.0
0,206,80.0
0,207,-30.0
0,208,-20.0
0,209,-20.0
0,210,20.0
0,211,-10.0
0,212,80.0
0,213,60.0
0,214,70.0
0,215,-10.0
0,216,-30.0
0,217,-20.0
0,218,0.0
0,219,-30.0
0,220,-20.0
0,221,20.0
0,222,70.0
0,223,10.0
0,224,0.0
0,225,-10.0
0,226,-30.0
0,227,40.0
0,228,10.0
0,229,50.0
0,230,0.0
0,231,60.0
0,232,-20.0
0,233,20.0
0,234,30.0
0,235,80.0
0,236,20.0
0,237,30.0
0,238,10.0
0,239,-30.0
0,240,30.0
0,241,-30.0
0,242,40.0
0,243,50.0
0,244,70.0
0,245,10.0
0,246,10.0
0,247,-30.0
0,248,40.0
0,249,30.0
0,250,10.0
0,251,30.0
0,252,40.0
0,253,50.0
0,254,20.0
0,255,0.0
0,256,60.0
0,257,50.0
0,258,10.0
0,259,50.0
0,260,30.0
0,261,10.0
0,262,30.0
0,263,70.0
0,264,40.0
0,265,10.0
0,266,60.0
0,267,0.0
0,268,100.0
0,269,-10.0
0,270,10.0
0,271,-10.0
0,272,20.0
0,273,10.0
0,274,90.0
0,275,60.0
0,276,30.0
0,277,40.0
0,278,40.0
0,279,20.0
0,280,-10.0
0,281,10.0
0,282,-50.0
0,283,50.0
0,284,-10.0
0,285,80.0
0,286,70.0
0,287,-10.0
0,288,0.0
0,289,80.0
0,290,10.0
0,291,30.0
0,292,50.0
0,293,50.0
0,294,-10.0
0,295,40.0
0,296,20.0
0,297,60.0
0,298,10.0
0,299,30.0
0,300,30.0
0,301,60.0
0,302,30.0
0,303,-10.0
0,304,10.0
0,305,40.0
0,306,0.0
0,307,70.0
0,308,30.0
0,309,10.0
0,310,40.0
0,311,-10.0
0,312,30.0
0,313,30.0
0,314,30.0
0,315,30.0
0,316,-10.0
0,317,20.0
0,318,20.0
0,319,20.0
0,320,60.0
0,321,50.0
0,322,10.0
0,323,40.0
0,324,-10.0
0,325,20.0
0,326,30.0
0,327,0.0
0,328,20.0
0,329,20.0
0,330,10.0
0,331,20.0
0,332,0.0
0,333,50.0
0,334,0.0
0,335,10.0
0,336,-10.0
0,337,-10.0
0,338,40.0
0,339,30.0
0,340,40.0
0,341,0.0
0,342,50.0
0,343,80.0
0,344,0.0
0,345,10.0
0,346,50.0
0,347,0.0
0,348,60.0
0,349,10.0
0,350,-10.0
0,351,20.0
0,352,20.0
0,353,10.0
0,354,40.0
0,355,-20.0
0,356,-10.0
0,357,10.0
0,358,40.0
0,359,-10.0
0,360,10.0
0,361,0.0
0,362,50.0
0,363,30.0
0,364,20.0
0,365,-10.0
0,366,-30.0
0,367,-10.0
0,368,-10.0
0,369,40.0
0,370,10.0
0,371,-40.0
0,372,-20.0
0,373,30.0
0,374,90.0
0,375,10.0
0,376,20.0
0,377,50.0
0,378,40.0
0,379,30.0
0,380,0.0
0,381,0.0
0,382,60.0
0,383,0.0
0,384,0.0
0,385,0.0
0,386,90.0
0,387,-30.0
0,388,30.0
0,389,70.0
0,390,0.0
0,391,30.0
0,392,30.0
0,393,-10.0
0,394,0.0
0,395,-20.0
0,396,-10.0
0,397,20.0
0,398,40.0
0,399,40.0
0,400,-10.0
0,401,40.0
0,402,40.0
0,403,70.0
0,404,0.0
0,405,30.0
0,406,90.0
