seed,ep,reward
0,0,20.0
0,1,30.0
0,2,0.0
0,3,-30.0
0,4,10.0
0,5,0.0
0,6,-20.0
0,7,-20.0
0,8,-20.0
0,9,-10.0
0,10,30.0
0,11,-20.0
0,12,20.0
0,13,-10.0
0,14,20.0
0,15,-10.0
0,16,-10.0
0,17,-30.0
0,18,-10.0
0,19,-20.0
0,20,-20.0
0,21,-10.0
0,22,-10.0
0,23,-30.0
0,24,-30.0
0,25,-30.0
0,26,-30.0
0,27,-30.0
0,28,-40.0
0,29,-30.0
0,30,-30.0
0,31,-10.0
0,32,-20.0
0,33,-30.0
0,34,-40.0
0,35,-30.0
0,36,-30.0
0,37,-20.0
0,38,-30.0
0,39,-30.0
0,40,-30.0
0,41,-30.0
0,42,-30.0
0,43,-40.0
0,44,-20.0
0,45,-30.0
0,46,-20.0
0,47,-20.0
0,48,-20.0
0,49,-30.0
1,0,-30.0
1,1,-30.0
1,2,-20.0
1,3,-30.0
1,4,-30.0
1,5,-30.0
1,6,-40.0
1,7,-30.0
1,8,-30.0
1,9,-30.0
1,10,-20.0
1,11,-20.0
1,12,-40.0
1,13,-30.0
1,14,-20.0
1,15,-40.0
1,16,-30.0
1,17,-50.0
1,18,-10.0
1,19,-30.0
1,20,-20.0
1,21,-30.0
1,22,-40.0
1,23,-10.0
1,24,-30.0
1,25,-40.0
1,26,-20.0
1,27,-20.0
1,28,-10.0
1,29,-20.0
1,30,-30.0
1,31,-30.0
1,32,-20.0
1,33,-20.0
1,34,-30.0
1,35,-20.0
1,36,-30.0
1,37,-20.0
1,38,-50.0
1,39,-10.0
1,40,-20.0
1,41,-10.0
1,42,-20.0
1,43,0.0
1,44,-20.0
1,45,-10.0
1,46,0.0
1,47,-20.0
1,48,-20.0
1,49,-10.0
