seed,ep,reward
0,0,-30.0
0,1,-30.0
0,2,-30.0
0,3,-20.0
0,4,0.0
0,5,-30.0
0,6,-20.0
0,7,-40.0
0,8,-30.0
0,9,-30.0
0,10,-10.0
0,11,-40.0
0,12,0.0
0,13,-10.0
0,14,-40.0
0,15,20.0
0,16,-10.0
0,17,10.0
0,18,-10.0
0,19,-10.0
0,20,-30.0
0,21,-20.0
0,22,0.0
0,23,-10.0
0,24,-30.0
0,25,-10.0
0,26,-30.0
0,27,30.0
0,28,-20.0
0,29,-10.0
0,30,-20.0
0,31,-20.0
0,32,-30.0
0,33,-30.0
0,34,10.0
0,35,0.0
0,36,-40.0
0,37,10.0
0,38,-20.0
0,39,-20.0
0,40,10.0
0,41,-40.0
0,42,-30.0
0,43,-10.0
0,44,-20.0
0,45,0.0
0,46,-30.0
0,47,-30.0
0,48,20.0
0,49,0.0
