seed,ep,reward
0,0,0
0,1,0
0,2,-30
0,3,-10
0,4,-30
0,5,-10
0,6,-30
0,7,-10
0,8,40
0,9,-30
0,10,-30
0,11,-10
0,12,10
0,13,0
0,14,-30
0,15,-10
0,16,-30
0,17,-30
0,18,20
0,19,-10
0,20,-10
0,21,-30
0,22,-20
0,23,30
0,24,0
0,25,30
0,26,-20
0,27,0
0,28,0
0,29,-30
0,30,-20
0,31,-30
0,32,-20
0,33,-10
0,34,-20
0,35,-30
0,36,-20
0,37,-10
0,38,40
0,39,-30
0,40,-30
0,41,-10
0,42,0
0,43,40
0,44,-20
0,45,10
0,46,-30
0,47,-10
0,48,-30
0,49,-30
0,50,10
0,51,20
0,52,-30
0,53,0
0,54,-10
0,55,-20
0,56,0
0,57,-40
0,58,-30
0,59,0
0,60,-10
0,61,20
0,62,-20
0,63,10
0,64,0
0,65,10
0,66,-10
0,67,-30
0,68,-30
0,69,20
0,70,-30
0,71,30
0,72,-20
0,73,-20
0,74,-30
0,75,70
0,76,-10
0,77,30
0,78,-10
0,79,0
0,80,0
0,81,-20
0,82,-20
0,83,-10
0,84,40
0,85,10
0,86,-10
0,87,-30
0,88,-30
0,89,30
0,90,10
0,91,-30
0,92,0
0,93,60
0,94,70
0,95,40
0,96,-10
0,97,10
0,98,-10
0,99,10
0,100,-30
0,101,0
0,102,-30
0,103,30
0,104,-20
0,105,-20
0,106,30
0,107,-30
0,108,-10
0,109,20
0,110,60
0,111,50
0,112,-10
0,113,-30
0,114,-10
0,115,-20
0,116,20
0,117,10
0,118,30
0,119,-10
0,120,-30
0,121,-20
0,122,130
0,123,0
0,124,-20
0,125,40
0,126,50
0,127,-10
0,128,-30
0,129,80
0,130,10
0,131,50
0,132,20
0,133,-10
0,134,10
0,135,-30
0,136,-20
0,137,-20
0,138,90
0,139,-20
0,140,80
0,141,-30
0,142,-20
0,143,20
0,144,10
0,145,0
0,146,50
0,147,30
0,148,30
0,149,-10
0,150,0
0,151,40
0,152,20
0,153,30
0,154,-20
0,155,40
0,156,20
0,157,10
0,158,40
0,159,-40
0,160,70
0,161,30
0,162,0
0,163,-30
0,164,40
0,165,0
0,166,30
0,167,0
0,168,-20
0,169,-20
0,170,-40
0,171,0
0,172,30
0,173,70
0,174,40
0,175,30
0,176,-20
0,177,60
0,178,-40
0,179,40
0,180,0
0,181,-10
0,182,-10
0,183,-30
0,184,-30
0,185,0
0,186,-10
0,187,50
0,188,20
0,189,10
0,190,30
0,191,10
0,192,10
0,193,-10
0,194,20
0,195,80
0,196,-40
0,197,-20
0,198,-20
0,199,50
0,200,60
0,201,20
0,202,50
0,203,70
0,204,0
0,205,30
0,206,120
0,207,50
0,208,70
0,209,10
0,210,-10
0,211,30
0,212,10
0,213,40
0,214,10
0,215,10
0,216,0
0,217,70
0,218,50
0,219,-40
0,220,-10
0,221,30
0,222,50
0,223,-10
0,224,20
0,225,40
0,226,40
0,227,10
0,228,90
0,229,20
0,230,-10
0,231,20
0,232,10
0,233,-30
0,234,20
0,235,10
0,236,0
0,237,10
0,238,0
0,239,-20
0,240,-30
0,241,10
0,242,30
0,243,110
0,244,-30
0,245,-10
0,246,30
0,247,-20
0,248,60
0,249,-20
0,250,50
0,251,0
0,252,30
0,253,20
0,254,40
0,255,-30
0,256,70
0,257,40
0,258,50
0,259,30
0,260,20
0,261,30
0,262,70
0,263,10
0,264,0
0,265,30
0,266,40
0,267,40
0,268,30
0,269,50
0,270,70
0,271,0
0,272,-30
0,273,20
0,274,50
0,275,40
0,276,0
0,277,-10
0,278,-20
0,279,50
0,280,20
0,281,10
0,282,10
0,283,20
0,284,10
0,285,-30
0,286,30
0,287,-10
0,288,-20
0,289,70
0,290,40
0,291,40
0,292,20
0,293,20
0,294,0
0,295,20
0,296,0
0,297,-30
0,298,-20
0,299,20
0,300,0
0,301,-10
0,302,0
0,303,30
0,304,30
0,305,10
0,306,10
0,307,0
0,308,70
0,309,50
0,310,0
0,311,140
0,312,-10
0,313,50
0,314,70
0,315,50
0,316,20
0,317,40
0,318,-10
0,319,30
0,320,60
0,321,20
0,322,80
0,323,60
0,324,10
0,325,-10
0,326,10
0,327,-20
0,328,80
0,329,30
0,330,50
0,331,90
0,332,10
0,333,0
0,334,20
0,335,0
0,336,30
0,337,30
0,338,60
0,339,0
0,340,20
0,341,-40
0,342,40
0,343,-10
0,344,-30
0,345,30
0,346,70
0,347,20
0,348,0
0,349,70
0,350,-10
0,351,30
0,352,50
0,353,-10
0,354,20
0,355,-20
0,356,20
0,357,20
0,358,50
0,359,110
0,360,40
0,361,40
0,362,50
0,363,20
0,364,-10
0,365,-20
0,366,40
0,367,70
0,368,80
0,369,50
0,370,110
0,371,-20
0,372,10
0,373,70
0,374,-10
0,375,30
0,376,-10
0,377,20
0,378,50
0,379,10
0,380,20
0,381,50
0,382,30
0,383,70
0,384,70
0,385,-20
0,386,40
0,387,100
0,388,50
0,389,60
0,390,50
0,391,40
0,392,40
0,393,40
0,394,0
0,395,10
0,396,10
0,397,30
0,398,0
0,399,90
0,400,30
0,401,-10
0,402,70
0,403,60
0,404,60
0,405,100
0,406,30
0,407,80
0,408,-30
0,409,70
0,410,110
0,411,20
0,412,-30
0,413,0
0,414,-10
0,415,-20
0,416,40
0,417,-20
0,418,10
0,419,10
0,420,30
0,421,-20
0,422,60
0,423,-20
0,424,10
0,425,0
0,426,40
0,427,40
0,428,-20
0,429,10
0,430,100
0,431,-10
0,432,30
0,433,-30
0,434,0
0,435,90
0,436,70
0,437,70
0,438,20
0,439,30
0,440,60
0,441,10
0,442,70
0,443,50
0,444,90
0,445,90
0,446,80
0,447,-10
0,448,-10
0,449,40
0,450,70
0,451,50
0,452,10
0,453,10
0,454,10
0,455,-10
0,456,20
0,457,90
0,458,20
0,459,40
0,460,40
0,461,-10
0,462,40
0,463,10
0,464,60
0,465,120
0,466,20
0,467,80
0,468,30
0,469,-20
0,470,0
0,471,30
0,472,40
0,473,30
0,474,30
0,475,90
0,476,0
0,477,-30
0,478,30
0,479,90
0,480,50
0,481,100
0,482,30
0,483,30
0,484,0
0,485,-20
0,486,0
0,487,-20
0,488,40
0,489,50
0,490,20
0,491,40
0,492,100
0,493,-30
0,494,-10
0,495,70
0,496,20
0,497,30
0,498,-10
0,499,30
0,500,80
0,501,-30
0,502,40
0,503,10
0,504,-10
0,505,10
0,506,20
0,507,40
0,508,40
0,509,-10
0,510,20
0,511,30
0,512,20
0,513,80
0,514,-10
0,515,60
0,516,130
0,517,30
0,518,-20
0,519,30
0,520,50
0,521,-20
0,522,20
0,523,10
0,524,60
0,525,60
0,526,60
0,527,10
0,528,20
0,529,50
0,530,90
0,531,50
0,532,40
0,533,40
0,534,40
0,535,60
0,536,10
0,537,20
0,538,50
0,539,30
0,540,60
0,541,-10
0,542,70
0,543,10
0,544,0
0,545,60
0,546,0
0,547,20
0,548,50
0,549,110
0,550,-10
0,551,-10
0,552,20
0,553,80
0,554,40
0,555,90
0,556,-10
0,557,30
0,558,-10
0,559,-10
0,560,40
0,561,10
0,562,80
0,563,30
0,564,0
0,565,20
0,566,40
0,567,-10
0,568,50
0,569,20
0,570,40
0,571,30
0,572,0
0,573,40
0,574,20
0,575,60
0,576,40
0,577,50
0,578,-10
0,579,20
0,580,0
0,581,30
0,582,-30
0,583,20
0,584,-30
0,585,20
0,586,-20
0,587,10
0,588,0
0,589,0
0,590,20
0,591,60
